path,methods,section,formal_guard,versioned_reexport,dynamic_object,write_or_mixed,direct_db,external_touch,demo_or_fixture,legacy_or_retired,high_risk_path,capability_off,no_store,next_only_imports,request_read,response_statuses,response_codes,strict_eligible,selected_fourth_batch,exclusion_reason,direct_compatibility_test_count,transitive_compatibility_test_count,api_regression_test_count,production_reexport_count,runtime_caller_count,planned_colocated_test
src/app/api/institution/knowledge-management/upload/route.ts,POST,knowledge,false,false,false,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/knowledge-management/upload/route.test.ts
src/app/api/institution/knowledge-management/vector-search/route.ts,GET,knowledge,true,false,false,false,false,false,false,false,true,true,true,false,false,503,knowledge_vector_search_capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/knowledge-management/vector-search/route.test.ts
src/app/api/institution/opportunities/route.ts,GET,analytics,false,false,false,false,false,false,false,true,false,false,true,true,false,410,legacy_opportunity_pool_disabled,false,false,legacy_or_retired,0,0,0,0,0,src/app/api/institution/opportunities/route.test.ts
src/app/api/institution/real-channel-preflight/evaluate/route.ts,none,system,false,true,false,true,false,false,false,false,true,false,false,false,false,,,false,false,versioned_reexport,0,0,0,0,0,src/app/api/institution/real-channel-preflight/evaluate/route.test.ts
src/app/api/institution/real-channel-preflight/route.ts,GET|POST,system,false,false,false,true,false,false,false,false,true,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/real-channel-preflight/route.test.ts
src/app/api/institution/safety-switch/route.ts,GET|PATCH,system,false,false,false,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/safety-switch/route.test.ts
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-suggestions/route.ts,GET,care,false,false,true,false,false,false,false,false,false,true,true,true,true,503,treatment_followup_suggestions_capability_disabled,false,false,dynamic_object,0,0,0,0,0,src/app/api/institution/treatment-summaries/[summaryId]/follow-up-suggestions/route.test.ts
src/app/api/institution/treatment-summaries/[summaryId]/follow-up-tasks/route.ts,POST,care,false,false,true,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/treatment-summaries/[summaryId]/follow-up-tasks/route.test.ts
src/app/api/institution/treatment-summaries/[summaryId]/route.ts,PATCH,care,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/treatment-summaries/[summaryId]/route.test.ts
src/app/api/institution/treatment-summaries/[summaryId]/void/route.ts,POST,care,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/treatment-summaries/[summaryId]/void/route.test.ts
src/app/api/institution/treatment-summaries/route.ts,GET,care,true,false,false,false,false,false,false,false,false,true,true,false,true,503,treatment_summary_list_capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/treatment-summaries/route.test.ts
src/app/api/institution/wecom-customer-contact-precheck/route.ts,GET|POST,customers,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-customer-contact-precheck/route.test.ts
src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,GET|POST,customers,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.test.ts
src/app/api/institution/wecom-customer-contact-readonly-proof/route.ts,GET|POST,customers,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-customer-contact-readonly-proof/route.test.ts
src/app/api/institution/wecom-customer-mapping/route.ts,GET|POST,customers,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-customer-mapping/route.test.ts
src/app/api/institution/wecom-official-dry-run-config/evaluate/route.ts,none,conversations,false,true,false,true,false,false,false,false,false,false,false,false,false,,,false,false,versioned_reexport,0,0,0,0,0,src/app/api/institution/wecom-official-dry-run-config/evaluate/route.test.ts
src/app/api/institution/wecom-official-dry-run-config/route.ts,GET|POST,conversations,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-official-dry-run-config/route.test.ts
src/app/api/institution/wecom-official-dry-run-snapshot/route.ts,GET|POST,conversations,false,false,false,true,false,false,false,false,false,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-official-dry-run-snapshot/route.test.ts
src/app/api/institution/wecom-official-dry-run/evaluate/route.ts,POST,conversations,false,false,false,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-official-dry-run/evaluate/route.test.ts
src/app/api/institution/wecom-official-dry-run/route.ts,GET,conversations,true,false,false,false,false,false,false,false,false,true,true,false,false,503,capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/wecom-official-dry-run/route.test.ts
src/app/api/institution/wecom-official-internal-message-proof/route.ts,GET|POST,conversations,false,false,false,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-official-internal-message-proof/route.test.ts
src/app/api/institution/wecom-official-secret-precheck/route.ts,GET|POST,conversations,false,false,false,true,false,false,false,false,true,true,true,true,true,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom-official-secret-precheck/route.test.ts
src/app/api/institution/wecom/customer-mapping-candidates/route.ts,GET,customers,true,false,false,false,false,false,false,false,false,true,true,false,false,503,capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/wecom/customer-mapping-candidates/route.test.ts
src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/route.ts,POST,customers,false,false,true,true,false,false,false,false,false,true,true,true,false,503,capability_disabled,false,false,not_get_only,0,0,0,0,0,src/app/api/institution/wecom/customer-mapping-reviews/[mappingId]/actions/route.test.ts
src/app/api/institution/wecom/external-contacts/route.ts,GET,conversations,true,false,false,false,false,false,false,false,false,true,true,false,false,503,capability_disabled,false,false,formal_guard_already_present,0,0,0,0,0,src/app/api/institution/wecom/external-contacts/route.test.ts
src/app/api/v1/institution/ai-models/route.ts,GET,system,false,false,false,false,false,false,true,false,false,false,false,false,true,401|403,INSTITUTION_AI_MODEL_GOVERNANCE_FORBIDDEN|forbidden|unauthorized,false,false,demo_or_fixture,0,0,0,0,0,src/app/api/v1/institution/ai-models/route.test.ts
src/app/api/v1/institution/wecom-official-dry-run/route.ts,none,conversations,false,true,false,true,false,false,false,false,false,false,false,false,false,,,false,false,versioned_reexport,0,0,0,0,0,src/app/api/v1/institution/wecom-official-dry-run/route.test.ts
