entry_type,path,methods,formal_guard,legacy_authorization,versioned_reexport,dynamic_object,write_method,database_touch,external_touch,demo_or_fixture,capability_off,classification,compatibility_test_count,compatibility_tests
api_route,src/app/api/institution/knowledge-management/vector-search/route.ts,GET,true,false,false,false,false,false,false,false,true,formal_guarded,4,src/app/api/institution/knowledge-management/vector-search/route.test.ts|src/modules/institution/tests/InstitutionKnowledgeReadonlyShell.test.tsx|src/modules/institution/tests/InstitutionKnowledgeVectorSearchCapabilityRoute.test.ts|src/modules/open-platform/tests/PlatformKnowledgeEmbeddingVectorSearchApiRoute.test.ts
api_route,src/app/api/institution/opportunities/route.ts,GET,false,false,false,false,false,false,false,true,false,legacy_or_retired,1,src/modules/institution/tests/OpportunityPoolLegacyApiRoute.test.ts
api_route,src/app/api/institution/real-channel-preflight/evaluate/route.ts,none,false,false,true,false,false,false,false,false,false,versioned_reexport,0,
api_route,src/app/api/institution/real-channel-preflight/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/RealChannelPreflightApiRoute.test.ts
api_route,src/app/api/institution/safety-switch/route.ts,GET|PATCH,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/security/tests/SafetySwitchApiRoute.test.ts
api_route,src/app/api/institution/treatment-summaries/[summaryId]/follow-up-suggestions/route.ts,GET,false,false,false,true,false,false,false,true,true,demo_or_fixture,3,src/modules/institution/tests/TreatmentFollowUpLinkApiRoutes.test.ts|src/modules/institution/tests/TreatmentFollowUpSuggestionsApiRoute.test.ts|src/modules/institution/tests/TreatmentSummaryDomain.test.ts
api_route,src/app/api/institution/treatment-summaries/[summaryId]/follow-up-tasks/route.ts,POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,2,src/modules/institution/tests/TreatmentFollowUpLinkApiRoutes.test.ts|src/modules/institution/tests/TreatmentSummaryDomain.test.ts
api_route,src/app/api/institution/treatment-summaries/[summaryId]/route.ts,PATCH,false,false,false,true,true,false,false,false,true,capability_off_unwired,4,src/modules/institution/tests/TreatmentFollowUpLinkApiRoutes.test.ts|src/modules/institution/tests/TreatmentFollowUpSuggestionsApiRoute.test.ts|src/modules/institution/tests/TreatmentSummaryApiRoutes.test.ts|src/modules/institution/tests/TreatmentSummaryDomain.test.ts
api_route,src/app/api/institution/treatment-summaries/[summaryId]/void/route.ts,POST,false,false,false,true,true,false,false,false,true,capability_off_unwired,2,src/modules/institution/tests/TreatmentSummaryApiRoutes.test.ts|src/modules/institution/tests/TreatmentSummaryDomain.test.ts
api_route,src/app/api/institution/treatment-summaries/route.ts,GET,true,false,false,false,false,false,false,true,true,formal_guarded,10,src/app/api/institution/treatment-summaries/route.test.ts|src/modules/institution/tests/TenantBusinessClient.test.ts|src/modules/institution/tests/TreatmentFollowUpLinkApiRoutes.test.ts|src/modules/institution/tests/TreatmentFollowUpSuggestionsApiRoute.test.ts|src/modules/institution/tests/TreatmentSummaryApiRoutes.test.ts|src/modules/institution/tests/TreatmentSummaryDomain.test.ts|src/modules/institution/tests/TreatmentSummaryListApiRoutes.test.ts|src/modules/institution/tests/TreatmentSummaryManagementShell.test.tsx|src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx|src/modules/workspace/tests/WorkspaceEntryPages.test.tsx
api_route,src/app/api/institution/wecom-customer-contact-precheck/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/WeComCustomerContactPrecheckApiRoute.test.ts
api_route,src/app/api/institution/wecom-customer-contact-readonly-proof-mock/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts
api_route,src/app/api/institution/wecom-customer-contact-readonly-proof/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,2,src/modules/institution/tests/WeComCustomerContactReadonlyProofApiRoute.test.ts|src/modules/institution/tests/WeComCustomerContactReadonlyProofMockApiRoute.test.ts
api_route,src/app/api/institution/wecom-customer-mapping/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,3,src/modules/institution/tests/WeComCustomerMappingApiRoute.test.ts|src/modules/institution/tests/WeComCustomerMappingClient.test.ts|src/modules/institution/tests/WeComCustomerMappingPanel.test.tsx
api_route,src/app/api/institution/wecom-official-dry-run-config/evaluate/route.ts,none,false,false,true,false,false,false,false,false,false,versioned_reexport,0,
api_route,src/app/api/institution/wecom-official-dry-run-config/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/WeComOfficialDryRunConfigApiRoute.test.ts
api_route,src/app/api/institution/wecom-official-dry-run-snapshot/route.ts,GET|POST,false,false,false,false,true,false,false,false,true,capability_off_unwired,1,src/modules/institution/tests/WeComDryRunSnapshotApiRoute.test.ts
