chain_names,source_path,source_owner,target_path,target_owner,specifier,detection_kinds,source_kind,target_kind,runtime_reachable,source_runtime_boundary,target_runtime_boundary,evidence
shared_types_services,src/app/api/v1/open-platform/tenants/[tenantId]/entitlement-usage/route.ts,__src_app__,src/modules/security/domain/access-control.ts,security,@/modules/security/domain/access-control,static_import_or_export,production,production,yes,yes,no,src/app/api/v1/open-platform/tenants/[tenantId]/entitlement-usage/route.ts -> @/modules/security/domain/access-control
shared_types_services,src/app/api/v1/open-platform/tenants/[tenantId]/entitlement-usage/route.ts,__src_app__,src/modules/security/server/access-context.ts,security,@/modules/security/server/access-context,static_import_or_export,production,production,yes,yes,yes,src/app/api/v1/open-platform/tenants/[tenantId]/entitlement-usage/route.ts -> @/modules/security/server/access-context
shared_types_services,src/app/api/v1/open-platform/tenants/route.ts,__src_app__,src/modules/security/domain/access-control.ts,security,@/modules/security/domain/access-control,static_import_or_export,production,production,yes,yes,no,src/app/api/v1/open-platform/tenants/route.ts -> @/modules/security/domain/access-control
shared_types_services,src/app/api/v1/open-platform/tenants/route.ts,__src_app__,src/modules/security/server/access-context.ts,security,@/modules/security/server/access-context,static_import_or_export,production,production,yes,yes,yes,src/app/api/v1/open-platform/tenants/route.ts -> @/modules/security/server/access-context
shared_types_services,src/app/api/v1/open-platform/trial-data-reset/route.ts,__src_app__,src/modules/audit/domain/audit-events.ts,audit,@/modules/audit/domain/audit-events,static_import_or_export,production,production,yes,yes,no,src/app/api/v1/open-platform/trial-data-reset/route.ts -> @/modules/audit/domain/audit-events
shared_types_services,src/app/api/v1/open-platform/trial-data-reset/route.ts,__src_app__,src/modules/security/server/access-context.ts,security,@/modules/security/server/access-context,static_import_or_export,production,production,yes,yes,yes,src/app/api/v1/open-platform/trial-data-reset/route.ts -> @/modules/security/server/access-context
customer_followup|shared_types_services,src/app/hospital/[...slug]/page.tsx,__src_app__,src/modules/institution-contracts/v1/institution-navigation.ts,institution-contracts,@/modules/institution-contracts/v1/institution-navigation,static_import_or_export,production,production,yes,no,no,src/app/hospital/[...slug]/page.tsx -> @/modules/institution-contracts/v1/institution-navigation
shared_types_services,src/app/hospital/[...slug]/page.tsx,__src_app__,src/modules/security/server/institution-request-authorization.ts,security,@/modules/security/server/institution-request-authorization,static_import_or_export,production,production,yes,no,yes,src/app/hospital/[...slug]/page.tsx -> @/modules/security/server/institution-request-authorization
customer_followup|shared_types_services,src/app/hospital/page.tsx,__src_app__,src/modules/institution-contracts/v1/institution-navigation.ts,institution-contracts,@/modules/institution-contracts/v1/institution-navigation,static_import_or_export,production,production,yes,no,no,src/app/hospital/page.tsx -> @/modules/institution-contracts/v1/institution-navigation
knowledge_workbench,src/app/hospital/page.tsx,__src_app__,src/modules/institution-workbench/components/InstitutionWorkbenchCapabilityOff.tsx,institution-workbench,@/modules/institution-workbench/components/InstitutionWorkbenchCapabilityOff,static_import_or_export,production,production,yes,no,no,src/app/hospital/page.tsx -> @/modules/institution-workbench/components/InstitutionWorkbenchCapabilityOff
