file_path,role,owner,loc,type_only_file,import_count,runtime_import_count,internal_outbound_count,institution_outbound_count,cross_module_outbound_count,inbound_consumer_count,test_consumer_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,cycle_id,runtime_boundary_tokens,stable_entry_suggestion,phase23_eligible,phase23_block_reason
src/modules/institution/tests/WeComCustomerMappingClient.test.ts,test,wecom,87,no,2,2,1,1,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComCustomerMappingDomain.test.ts,test,wecom,71,no,2,2,1,1,0,0,0,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
src/modules/institution/tests/WeComCustomerMappingPanel.test.tsx,test,wecom,195,no,3,3,1,1,0,0,0,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_plain_ts；not_domain_or_contract
src/modules/institution/tests/WeComCustomerMappingReadWriteBridge.test.ts,test,wecom,127,no,4,4,3,0,3,0,0,0,0,no,,network,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerMappingRepository.test.ts,test,wecom,194,no,4,3,3,1,2,0,0,0,0,no,,database,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerMappingReviewActionsApiRoute.test.ts,test,wecom,1365,no,9,8,8,2,6,0,0,0,0,no,,network,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/tests/WeComCustomerMappingReviewActionsClient.test.ts,test,wecom,153,no,2,2,1,1,0,0,0,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
src/modules/institution/tests/WeComCustomerMappingReviewActionsDomain.test.ts,test,wecom,745,no,3,3,1,1,0,0,0,0,0,no,,external_channel,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；runtime_boundary_token
src/modules/institution/tests/WeComCustomerMappingReviewDomain.test.ts,test,wecom,2359,no,4,3,2,2,0,0,0,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract
src/modules/institution/tests/WeComCustomerMappingService.test.ts,test,wecom,351,no,6,2,5,3,2,0,0,0,0,no,,,src/modules/institution/wecom/index.ts,no,not_domain_or_contract；cross_module_outbound
