source_path,target_path,specifier,import_kind,scope,source_module,target_module,source_role,target_role,source_owner,target_owner,reverse_dependency,cycle_edge,risk
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,src/modules/institution/server/wecom-real-send-proof-repository.ts,@/modules/institution/server/wecom-real-send-proof-repository,runtime,institution_internal,institution,institution,test,server_repository,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,src/server/db/client.ts,@/server/db/client,type,cross_module_internal,institution,server,test,client,wecom,shared,no,no,medium
src/modules/institution/tests/WeComRealSendProofRepository.test.ts,src/server/db/schema.ts,@/server/db/schema,runtime,cross_module_internal,institution,server,test,server_service,wecom,shared,no,no,medium
src/modules/institution/tests/WeComRealSendProofService.test.ts,,node:fs,runtime,external_package,institution,node:fs,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofService.test.ts,,node:path,runtime,external_package,institution,node:path,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofService.test.ts,,vitest,runtime,external_package,institution,vitest,test,external_package,wecom,,no,no,low
src/modules/institution/tests/WeComRealSendProofService.test.ts,src/modules/institution/domain/wecom-real-send-proof.ts,@/modules/institution/domain/wecom-real-send-proof,runtime,institution_internal,institution,institution,test,domain,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendProofService.test.ts,src/modules/institution/server/wecom-real-send-proof-repository.ts,@/modules/institution/server/wecom-real-send-proof-repository,type,institution_internal,institution,institution,test,server_repository,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendProofService.test.ts,src/modules/institution/server/wecom-real-send-proof-service.ts,@/modules/institution/server/wecom-real-send-proof-service,runtime,institution_internal,institution,institution,test,server_service,wecom,wecom,no,no,low
src/modules/institution/tests/WeComRealSendProofService.test.ts,src/modules/security/domain/access-control.ts,@/modules/security/domain/access-control,type,cross_module_internal,institution,security,test,domain,wecom,shared,no,no,medium
src/modules/institution/view-models/wecom-customer-mapping-candidates-reader.ts,src/modules/institution/view-models/wecom-customer-mapping-candidates.ts,@/modules/institution/view-models/wecom-customer-mapping-candidates,runtime,institution_internal,institution,institution,other,other,wecom,wecom,no,no,low
