source,target,import_specifier,edge_scope,source_role,target_role,reverse_dependency,cycle_edge
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,@/modules/open-platform/server/platform-knowledge-document-parsing-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/chunks/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,src/modules/open-platform/server/platform-knowledge-document-parsing-service.ts,@/modules/open-platform/server/platform-knowledge-document-parsing-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,src/modules/open-platform/server/platform-knowledge-file-storage.ts,@/modules/open-platform/server/platform-knowledge-file-storage,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/parse/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/route.ts,src/modules/open-platform/server/platform-knowledge-file-management-service.ts,@/modules/open-platform/server/platform-knowledge-file-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/[fileId]/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/route.ts,src/modules/open-platform/server/platform-knowledge-file-management-service.ts,@/modules/open-platform/server/platform-knowledge-file-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/route.ts,src/modules/open-platform/server/platform-knowledge-file-storage.ts,@/modules/open-platform/server/platform-knowledge-file-storage,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/files/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/visibility/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/visibility/route.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,@/modules/open-platform/server/platform-knowledge-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/[knowledgeId]/visibility/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/items/route.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,@/modules/open-platform/server/platform-knowledge-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/items/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/qa/audits/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/qa/audits/route.ts,src/modules/open-platform/server/platform-knowledge-qa-service.ts,@/modules/open-platform/server/platform-knowledge-qa-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/qa/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/qa/route.ts,src/modules/open-platform/server/platform-knowledge-qa-service.ts,@/modules/open-platform/server/platform-knowledge-qa-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/route.ts,src/modules/open-platform/server/platform-knowledge-management-service.ts,@/modules/open-platform/server/platform-knowledge-management-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/search/route.ts,src/modules/open-platform/server/platform-knowledge-keyword-search-service.ts,@/modules/open-platform/server/platform-knowledge-keyword-search-service,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/search/route.ts,src/modules/open-platform/server/platform-knowledge-management-repository.ts,@/modules/open-platform/server/platform-knowledge-management-repository,project_inbound,other,server_repository,no,no
src/app/api/v1/open-platform/knowledge-management/search/route.ts,src/modules/open-platform/server/platformKnowledgeManagementApiContract.ts,@/modules/open-platform/server/platformKnowledgeManagementApiContract,project_inbound,other,server_service,no,no
src/app/api/v1/open-platform/knowledge-management/vector-search/route.ts,src/modules/open-platform/server/platform-knowledge-embedding-vector-search-service.ts,@/modules/open-platform/server/platform-knowledge-embedding-vector-search-service,project_inbound,other,server_service,no,no
